Date,Days_After_Sowing,NDVI_Interpolated,NDVI_Lower_CI,NDVI_Upper_CI,FVC_Interpolated,FVC_Lower_CI,FVC_Upper_CI,Ground_Cover_Percentage,Ground_Cover_Lower_CI,Ground_Cover_Upper_CI,Growth_Stage,Sowing_Date,Harvest_Date,temperature_2m,temperature_min,temperature_max,precipitation,humidity,pressure,wind_speed,cloud_cover,gdd_daily,gdd_cumulative
2024-04-06,186,0.6445688010410775,0.6101828010410775,0.6789548010410775,0.7065268586301108,0.6574040014872535,0.7556497157729679,70.65268586301107,65.74040014872536,75.56497157729679,Flowering,2023-10-03,2024-07-30,17.2,11.6,24.4,0.0,55,1016.9,10.2,82,18.0,1200.3000000000002
2024-04-07,187,0.6430921064498697,0.6087061064498697,0.6774781064498697,0.7044172949283853,0.6552944377855281,0.7535401520712425,70.44172949283853,65.5294437785528,75.35401520712425,Flowering,2023-10-03,2024-07-30,17.1,12.1,22.2,0.0,59,1016.9,10.7,92,17.15,1217.4500000000003
2024-04-08,188,0.6420867843738269,0.6077007843738269,0.676472784373827,0.7029811205340385,0.6538582633911814,0.7521039776768956,70.29811205340386,65.38582633911814,75.21039776768956,Flowering,2023-10-03,2024-07-30,18.9,11.9,25.9,0.0,52,1011.0,7.3,61,18.9,1236.3500000000004
2024-04-09,189,0.6422564680073931,0.6078704680073931,0.6766424680073931,0.7032235257248474,0.6541006685819901,0.7523463828677045,70.32235257248473,65.41006685819902,75.23463828677045,Flowering,2023-10-03,2024-07-30,12.0,7.2,16.7,2.0,69,1013.6,16.9,94,11.95,1248.3000000000004
2024-04-10,190,0.6431628897051735,0.6087768897051735,0.6775488897051736,0.7045184138645336,0.6553955567216765,0.7536412710073909,70.45184138645337,65.53955567216765,75.36412710073908,Flowering,2023-10-03,2024-07-30,8.6,6.1,11.9,0.0,67,1028.7,8.8,89,9.0,1257.3000000000004
2024-04-11,191,0.644428974481214,0.6100429744812139,0.678814974481214,0.7063271064017342,0.657204249258877,0.7554499635445914,70.63271064017343,65.7204249258877,75.54499635445914,Flowering,2023-10-03,2024-07-30,10.0,3.3,16.1,0.0,69,1033.4,4.2,31,9.700000000000001,1267.0000000000005
2024-04-12,192,0.6459255024146464,0.6115395024146464,0.6803115024146464,0.7084650034494949,0.6593421463066377,0.7575878605923521,70.84650034494949,65.93421463066377,75.7587860592352,Flowering,2023-10-03,2024-07-30,12.5,5.1,18.9,0.0,66,1032.3,7.4,57,12.0,1279.0000000000005
2024-04-13,193,0.6476166681796833,0.6132306681796833,0.6820026681796834,0.7108809545424047,0.6617580973995476,0.760003811685262,71.08809545424047,66.17580973995476,76.0003811685262,Flowering,2023-10-03,2024-07-30,14.7,7.6,21.7,0.0,71,1027.2,7.1,87,14.649999999999999,1293.6500000000005
2024-04-14,194,0.64948668586695,0.61510068586695,0.68387268586695,0.7135524083813571,0.6644295512385,0.7626752655242144,71.35524083813571,66.44295512385,76.26752655242144,Flowering,2023-10-03,2024-07-30,16.3,12.7,21.1,0.0,65,1020.3,13.3,95,16.9,1310.5500000000006
2024-04-15,195,0.6515495592899045,0.6171635592899045,0.6859355592899046,0.7164993704141494,0.6673765132712922,0.7656222275570066,71.64993704141493,66.73765132712923,76.56222275570066,Flowering,2023-10-03,2024-07-30,11.6,5.0,14.5,5.2,79,1010.2,17.7,88,9.75,1320.3000000000006
2024-04-16,196,0.6539869712491526,0.6196009712491526,0.6883729712491526,0.7199813874987895,0.6708585303559322,0.7691042446416466,71.99813874987895,67.08585303559322,76.91042446416466,Flowering,2023-10-03,2024-07-30,5.4,2.8,8.6,9.0,80,1007.3,25.2,83,5.699999999999999,1326.0000000000007
2024-04-17,197,0.6575474485499366,0.6231614485499366,0.6919334485499367,0.7250677836427666,0.6759449264999094,0.7741906407856238,72.50677836427666,67.59449264999094,77.41906407856239,Flowering,2023-10-03,2024-07-30,5.1,1.9,8.5,3.6,78,1009.5,11.2,91,5.2,1331.2000000000007
2024-04-18,198,0.6637944130806162,0.6294084130806161,0.6981804130806162,0.7339920186865945,0.6848691615437373,0.7831148758294517,73.39920186865945,68.48691615437373,78.31148758294518,Flowering,2023-10-03,2024-07-30,3.8,1.1,9.5,2.4,82,1016.2,8.9,77,5.3,1336.5000000000007
